,LIMIT_BAL,80%,match 100,MatchA,Match J,Match JUN,MatchM,default,STAT_AUG,BILL_JUL,PAID_AUG,Bal_AUG,STAT_JUL,BILL_JUN,PAID_JUL,Bal_JUL,STAT_JUN,BILL_MAY,PAID_JUN,Bal_JUN,STAT_MAY,BILL_APR,PAID_MAY,Bal_MAY
46,220000,176000,0,0,0,0,0,1,2,325,0,325,2,950,950,0,-1,475,0,475,2,325,325,0
47,90000,72000,0,0,0,0,0,1,0,7097,2500,4597,0,6624,2397,4227,0,6806,2150,4656,0,6266,709,5557
48,50000,40000,0,0,0,0,0,1,0,27199,1500,25699,0,18810,1400,17410,0,18487,1000,17487,0,18874,684,18190
49,400000,320000,0,0,0,0,0,0,0,194509,8000,186509,0,199284,8000,191284,0,203502,7500,196002,0,195769,9000,186769
50,110000,88000,0,0,0,0,0,0,0,87889,5009,82880,0,61123,4000,57123,0,59395,3027,56368,0,52189,3000,49189
51,20000,16000,0,1,1,0,0,0,0,19633,1750,17883,0,18347,1000,17347,0,9347,1000,8347,0,0,0,0
52,30000,24000,0,0,0,0,0,0,0,13052,3345,9707,0,0,0,0,0,0,0,0,-2,0,0,0
53,30000,24000,0,0,0,0,0,0,-2,0,0,0,-2,295,295,0,-2,-5,5,-10,-2,-5,0,-5
54,230000,184000,0,0,0,0,0,1,-2,0,0,0,-2,0,0,0,-2,0,0,0,-2,0,0,0
55,160000,128000,0,0,0,0,0,1,-1,1097,0,1097,2,772,0,772,0,447,0,447,0,797,1000,-203
56,200000,160000,0,0,0,0,0,1,-2,0,0,0,-2,0,0,0,-2,0,0,0,-2,0,0,0
57,20000,16000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,-2,0,0,0
58,160000,128000,0,0,0,0,0,0,-1,9244,6152,3092,0,8344,1000,7344,0,5607,1401,4206,0,1289,0,1289
59,160000,128000,0,0,0,0,0,0,0,25254,1000,24254,0,10740,10740,0,-1,50207,50207,0,-1,10298,10298,0
60,140000,112000,0,0,0,0,0,0,0,16025,16025,0,-1,24616,24616,0,-1,19458,1000,18458,0,20047,1000,19047
61,120000,96000,1,1,1,1,1,0,0,131281,4500,126781,2,128594,4260,124334,0,117561,4595,112966,0,116732,4311,112421
62,180000,144000,0,1,1,1,1,0,0,173685,11080,162605,0,179213,10000,169213,0,182271,10000,172271,0,156029,7000,149029
63,60000,48000,0,0,0,0,0,0,0,40870,1668,39202,0,39703,1609,38094,0,38600,1506,37094,0,40230,2379,37851
64,360000,288000,0,0,0,0,0,1,-1,7508,7545,-37,-1,434,502,-68,-1,2139,2205,-66,-1,993,5,988
65,100000,80000,0,0,0,0,0,1,2,61749,2500,59249,2,65130,5000,60130,2,63816,0,63816,3,65011,2400,62611
66,100000,80000,0,1,1,0,0,0,0,102252,17023,85229,0,89009,8942,80067,0,79853,86950,-7097,-1,80970,33000,47970
67,100000,80000,0,0,0,0,0,0,2,1647,1647,0,-1,3348,3348,0,-1,1458,1458,0,-1,1458,1458,0
68,200000,160000,0,0,0,0,0,0,-1,1000,1000,0,-1,0,0,0,-1,1275,1275,0,-1,543,543,0
69,210000,168000,0,0,0,0,0,0,0,101951,15011,86940,0,96329,10000,86329,0,84224,10000,74224,0,81570,5000,76570
70,230000,184000,0,0,0,0,0,0,0,35448,0,35448,2,36551,2000,34551,0,37460,1500,35960,0,38831,2000,36831
71,520000,416000,0,0,0,0,0,0,2,37238,0,37238,2,36293,20000,16293,0,55826,40000,15826,0,34989,0,34989
72,210000,168000,0,0,0,0,0,0,-2,850,850,0,-2,2340,2340,0,-2,2380,2380,0,-2,2694,2694,0
73,500000,400000,0,0,0,0,0,1,2,0,0,0,-2,0,0,0,-2,0,0,0,-2,0,0,0
74,220000,176000,0,0,0,0,0,1,-2,416,832,-416,-2,416,416,0,-2,416,416,0,-2,416,416,0
75,400000,320000,0,0,0,0,0,0,0,0,0,0,-2,53826,53826,0,-1,55061,1642,53419,0,71541,20000,51541
76,90000,72000,0,0,0,0,0,0,0,42142,3611,38531,0,35349,199,35150,2,29790,208,29582,0,26414,0,26414
77,360000,288000,0,0,0,0,0,0,-1,740,740,0,-1,871,871,0,-1,1980,1980,0,-1,0,0,0
78,50000,40000,0,0,0,0,0,0,0,37779,1900,35879,0,28424,1500,26924,0,29133,1194,27939,0,27509,1000,26509
79,60000,48000,0,0,0,0,0,0,0,20261,3000,17261,0,22832,3000,19832,0,24234,2000,22234,0,24928,2000,22928
80,50000,40000,0,0,0,0,0,0,0,12549,2000,10549,0,16995,5000,11995,0,17490,778,16712,0,18253,1200,17053
81,200000,160000,0,0,0,0,0,0,-1,1209,2712,-1503,-1,0,0,0,-1,1440,1440,0,-1,0,0,0
82,60000,48000,0,0,0,0,0,1,0,44291,3042,41249,0,41241,1433,39808,0,29534,1012,28522,0,29297,1029,28268
83,200000,160000,0,0,0,0,0,0,-1,3308,3324,-16,-1,481,483,-2,-1,-19,0,-19,-1,3821,3840,-19
84,260000,208000,0,0,0,0,0,0,0,16986,2000,14986,0,17700,1000,16700,0,19401,2000,17401,0,21067,2000,19067
85,110000,88000,0,0,0,0,0,1,2,450,0,450,2,450,0,450,3,450,0,450,3,300,0,300
86,240000,192000,0,0,0,0,0,0,-1,68105,68116,-11,-1,95615,30800,64815,0,123931,30000,93931,0,151559,30000,121559
87,200000,160000,0,0,0,0,0,0,0,4963,1155,3808,0,5418,1000,4418,0,5131,103,5028,0,5741,1000,4741
88,120000,96000,0,0,0,0,1,0,0,96290,4371,91919,0,97913,4425,93488,0,102959,7900,95059,0,104872,4000,100872
89,500000,400000,0,0,0,0,0,0,-1,23804,113935,-90131,-1,92715,108041,-15326,-1,6655,33,6622,0,3966,3984,-18
90,100000,80000,0,0,1,1,1,1,2,83945,7400,76545,2,81702,0,81702,2,83232,3000,80232,0,84947,3100,81847
91,80000,64000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,-2,0,0,0
92,120000,96000,0,0,0,0,0,0,0,225,225,0,-1,3550,3550,0,-1,3550,0,3550,0,3550,0,3550
93,160000,128000,0,0,0,0,0,0,0,101479,101505,-26,-1,101454,3600,97854,0,102861,3700,99161,0,103921,3800,100121
94,60000,48000,0,0,0,0,0,0,-1,0,0,0,-1,785,785,0,-1,0,0,0,-1,0,0,0
95,390000,312000,0,0,0,0,0,0,-1,31192,1397,29795,0,13859,347,13512,0,10078,250,9828,0,4635,145,4490
96,90000,72000,0,1,1,1,1,0,0,83204,3200,80004,0,81645,3000,78645,0,84629,5000,79629,0,87981,5000,82981
97,120000,96000,0,1,1,1,1,0,2,112056,4100,107956,2,112819,4087,108732,2,111298,400,110898,2,113290,4000,109290
98,520000,416000,0,0,0,0,0,0,0,25689,8011,17678,0,146903,151509,-4606,-1,150656,50263,100393,0,132050,59491,72559
99,450000,360000,0,0,0,0,0,0,-1,6665,6665,0,-1,0,0,0,-1,0,0,0,-2,0,0,0
100,20000,16000,0,1,0,0,0,0,0,19413,3000,16413,0,14871,0,14871,2,15478,1000,14478,0,16068,1000,15068
101,50000,40000,0,0,0,0,0,0,0,20791,1351,19440,0,22104,1664,20440,0,22237,797,21440,0,22703,825,21878
102,180000,144000,0,0,0,0,0,0,0,68650,2500,66150,0,67895,3000,64895,0,68442,2500,65942,0,70131,3000,67131
103,60000,48000,0,0,0,0,0,0,0,29306,2000,27306,0,27800,1748,26052,0,27552,1500,26052,0,29545,2600,26945
104,200000,160000,0,0,0,0,0,0,-2,-10,0,-10,-2,4115,4125,-10,-2,1315,1315,0,-2,0,0,0
105,110000,88000,0,0,0,0,0,0,2,75794,4000,71794,0,76947,3000,73947,0,79105,3000,76105,0,72344,10000,62344
106,200000,160000,0,0,0,0,0,1,-2,0,0,0,-2,0,0,0,-2,0,0,0,-2,0,0,0
107,140000,112000,0,1,0,0,0,0,0,136377,4744,131633,0,106241,4546,101695,0,96986,3672,93314,0,94665,3602,91063
108,150000,120000,0,0,0,0,0,0,0,14648,1500,13148,0,12115,1600,10515,0,12613,1000,11613,0,15225,3000,12225
109,120000,96000,0,0,0,0,0,1,2,66450,3000,63450,2,67373,2600,64773,2,68186,2500,65686,2,68959,2000,66959
110,260000,208000,0,0,0,0,0,0,0,22099,8000,14099,0,18985,1000,17985,0,19662,1000,18662,0,22274,5000,17274
111,80000,64000,0,1,1,1,1,0,0,82116,3750,78366,0,80299,3520,76779,0,81416,3069,78347,0,81617,3271,78346
112,430000,344000,0,0,0,0,0,0,-2,2250,2250,0,-2,3004,3004,0,-2,1074,1074,0,-2,1623,1623,0
113,100000,80000,0,0,0,0,0,0,-1,1635,5635,-4000,-1,884,884,0,-1,0,0,0,-1,0,0,0
114,400000,320000,0,0,0,0,0,0,0,92336,3565,88771,0,91816,2731,89085,0,57477,10031,47446,0,66203,16027,50176
115,110000,88000,0,0,0,0,1,0,-1,2161,2161,0,-1,1719,1719,0,-1,107591,107591,0,-1,107940,5000,102940
116,610000,488000,0,0,0,0,0,0,0,3428,4017,-589,-1,6384,6434,-50,-1,65809,68290,-2481,-1,62950,2045,60905
117,50000,40000,0,0,0,0,0,0,0,20895,2000,18895,0,11241,1000,10241,0,-861,0,-861,0,38040,39500,-1460
118,170000,136000,0,0,0,0,0,0,0,46870,1900,44970,0,43584,2014,41570,0,34760,2500,32260,0,35467,2000,33467
119,190000,152000,0,0,0,0,0,0,0,5029,1300,3729,0,6494,2000,4494,0,678,678,0,-1,11928,11514,414
120,400000,320000,0,0,0,0,0,0,2,0,0,0,2,3378,3378,0,-2,0,0,0,-2,590,590,0
121,50000,40000,0,0,0,0,0,0,0,21940,1400,20540,0,20718,1200,19518,0,24048,5000,19048,0,5017,5017,0
122,320000,256000,0,0,0,0,0,0,-2,2849,2849,0,-2,1060,1060,0,-2,3667,3667,0,-2,1627,1627,0
123,290000,232000,0,1,1,1,1,0,0,267792,11800,255992,0,273208,11500,261708,0,277225,10000,267225,0,284010,11000,273010
124,50000,40000,0,0,0,0,0,0,2,30266,0,30266,2,30897,2000,28897,2,30050,0,30050,2,24651,2000,22651
125,320000,256000,0,0,0,0,0,0,-2,10798,10832,-34,-2,9198,9244,-46,-2,2314,2325,-11,-2,14497,14568,-71
126,250000,200000,0,0,0,0,0,1,2,39814,2000,37814,0,34374,1871,32503,0,34768,1265,33503,0,38830,4643,34187
127,30000,24000,0,0,1,1,1,1,2,28721,5000,23721,2,31262,3300,27962,3,30217,0,30217,5,29158,0,29158
128,20000,16000,0,0,0,0,0,1,2,8198,0,8198,2,9752,1700,8052,2,9447,0,9447,2,10290,1000,9290
129,60000,48000,0,0,0,0,0,0,0,17638,1293,16345,0,17989,644,17345,0,18383,684,17699,0,21781,3721,18060
130,380000,304000,0,0,0,0,0,0,0,63052,13052,50000,0,0,0,0,0,1184,1184,0,-1,21852,21852,0
131,20000,16000,0,0,0,0,0,0,0,16470,800,15670,2,10195,1500,8695,0,11195,1000,10195,0,11995,800,11195
132,140000,112000,0,0,0,0,0,0,0,54636,2000,52636,0,51407,2059,49348,0,12016,1019,10997,0,60890,55317,5573
133,50000,40000,0,0,0,0,0,1,2,29778,1496,28282,0,30370,1088,29282,0,31003,1123,29880,0,32291,1800,30491
134,50000,40000,0,0,0,0,0,0,0,40205,2001,38204,0,43024,3520,39504,0,39908,0,39908,2,40731,2000,38731
135,50000,40000,0,0,0,0,0,0,-1,0,0,0,-1,1261,2522,-1261,-1,1261,1261,0,-1,1261,1261,0
136,110000,88000,0,0,0,0,0,0,0,78997,3300,75697,0,71276,2000,69276,0,68385,3000,65385,0,62475,2500,59975
137,70000,56000,0,1,1,1,1,1,2,63931,6672,57259,2,64585,2300,62285,2,66207,2800,63407,2,67577,2600,64977
138,300000,240000,0,0,0,0,0,0,-1,48163,48408,-245,-1,13461,13538,-77,-1,5121,5145,-24,-1,5663,5690,-27
139,280000,224000,1,1,0,0,0,0,0,296257,8034,288223,0,232,232,0,-1,-94,94,-188,-1,143864,145935,-2071
140,200000,160000,0,0,0,0,0,1,0,34228,14031,20197,0,26418,15021,11397,0,22196,15007,7189,0,15973,14004,1969
141,50000,40000,0,0,0,0,0,0,0,19833,3302,16531,0,24014,5000,19014,0,27429,6500,20929,0,29189,10000,19189
142,50000,40000,0,0,0,0,0,0,0,15472,1258,14214,0,15778,564,15214,0,16109,585,15524,0,16427,586,15841
143,140000,112000,0,0,0,0,0,0,0,41831,7000,34831,0,45893,8000,37893,0,10186,5000,5186,0,4887,0,4887
144,90000,72000,0,0,0,0,0,0,-1,669,669,0,-1,0,0,0,-1,400,400,0,-1,182,182,0
145,250000,200000,0,0,0,0,0,1,2,125721,4500,121221,2,122209,0,122209,2,126129,5954,120175,2,127847,3900,123947
146,150000,120000,0,0,0,0,0,0,-1,1062,1062,0,-1,0,0,0,-1,1810,1810,0,-1,0,0,0
147,30000,24000,0,1,1,1,1,1,2,27640,1400,26240,2,26897,0,26897,2,27949,1500,26449,2,29645,2300,27345
148,310000,248000,0,0,0,0,0,0,0,71403,2216,69187,0,69478,1879,67599,0,53786,1563,52223,0,52791,2000,50791
149,100000,80000,0,0,0,0,0,0,2,76434,2700,73734,2,74611,0,74611,2,79292,5900,73392,2,80945,3100,77845
150,210000,168000,0,0,0,0,0,0,-1,3853,3856,-3,-1,3942,3945,-3,-1,2338,2338,0,-1,1767,1767,0
151,200000,160000,0,0,0,0,0,0,0,34114,5351,28763,0,29982,200,29782,0,-18,0,-18,0,-18,0,-18
152,380000,304000,0,0,0,0,0,0,0,16678,3000,13678,0,16650,2000,14650,0,17380,2000,15380,0,17074,2000,15074
153,10000,8000,0,0,0,0,0,1,-1,3629,4011,-382,-1,6260,6260,0,-1,5990,120,5870,0,6520,2000,4520
154,290000,232000,0,0,0,0,0,0,0,3253,1000,2253,0,766,766,0,-1,168322,168342,-20,-1,169676,7000,162676
155,200000,160000,0,0,0,0,0,0,0,76593,14593,62000,0,93988,20150,73838,0,50292,0,50292,2,10510,5739,4771
156,200000,160000,0,0,0,0,0,0,0,143982,43982,100000,0,146700,5150,141550,0,149339,6000,143339,0,162121,15027,147094
157,160000,128000,0,0,0,0,0,0,0,7169,2000,5169,0,9036,2000,7036,0,8749,0,8749,2,9447,1000,8447
158,300000,240000,0,1,0,0,0,0,0,295855,11504,284351,0,201842,8500,193342,0,201309,8000,193309,0,200695,8000,192695
159,130000,104000,0,1,1,1,1,0,0,119553,5000,114553,0,116530,4214,112316,0,113962,4500,109462,0,113972,5000,108972
160,120000,96000,0,0,0,0,0,0,0,86478,2960,83518,0,81902,3833,78069,0,78616,2855,75761,0,80307,3000,77307
161,100000,80000,0,0,1,1,1,0,0,86016,7000,79016,0,87715,4000,83715,2,85411,0,85411,2,87870,4000,83870
162,210000,168000,0,0,0,0,0,0,0,163576,7000,156576,0,115854,4000,111854,0,111606,5000,106606,0,120885,105015,15870
163,200000,160000,0,0,1,0,0,0,-1,194779,100000,94779,0,194179,0,194179,0,164444,83277,81167,0,83277,0,83277
164,200000,160000,0,0,0,0,0,0,-1,2967,2996,-29,-1,0,0,0,-1,0,0,0,-2,0,0,0
165,310000,248000,0,0,0,0,0,0,0,44127,2500,41627,0,44782,2150,42632,0,2108,1000,1108,0,1983,2000,-17
166,100000,80000,0,0,0,0,0,0,0,70814,2687,68127,0,69786,2997,66789,0,68116,2147,65969,0,62652,2369,60283
167,130000,104000,0,0,0,0,0,0,0,59064,2188,56876,0,46825,2500,44325,0,46730,1122,45608,0,47775,1500,46275
168,360000,288000,0,0,0,0,0,1,-2,0,0,0,-2,0,0,0,-2,0,0,0,-2,0,0,0
169,270000,216000,0,0,0,0,0,0,-2,15332,3119,12213,-2,9094,9124,-30,-2,225604,225616,-12,-1,7443,7443,0
170,210000,168000,0,0,0,0,0,0,-2,1835,1835,0,-2,2396,2396,0,-2,0,0,0,-2,0,0,0
171,330000,264000,0,1,1,0,0,0,0,317997,10882,307115,0,274132,9902,264230,0,267622,10000,257622,0,261246,10000,251246
172,180000,144000,0,0,0,0,0,0,0,25600,5000,20600,0,0,0,0,0,0,0,0,-2,36565,36565,0
173,390000,312000,0,0,0,0,0,0,0,212726,7500,205226,0,210556,7228,203328,0,208317,7103,201214,0,205339,7214,198125
174,180000,144000,0,0,0,0,0,1,2,15009,0,15009,2,17752,3000,14752,2,17172,0,17172,2,18732,2000,16732
175,30000,24000,0,0,0,0,0,0,0,23582,1400,22182,2,21422,1000,20422,2,18302,700,17602,2,16527,1000,15527
176,200000,160000,0,0,0,0,0,0,-2,2005,2015,-10,-2,15776,15854,-78,-2,2696,2709,-13,-2,6147,6178,-31
177,10000,8000,0,1,1,1,0,0,2,8440,0,8440,2,9229,900,8329,2,8969,0,8969,2,8819,2000,6819
178,50000,40000,0,0,0,0,0,0,0,29457,1060,28397,0,9279,212,9067,0,888,888,0,-1,19947,19709,238
179,150000,120000,0,0,0,0,0,0,-2,9447,9460,-13,-1,4887,0,4887,2,11181,6702,4479,2,6692,16,6676
180,10000,8000,0,0,0,0,0,1,0,4883,1081,3802,0,5053,251,4802,0,5275,375,4900,0,0,0,0
181,50000,40000,0,0,0,0,0,1,0,7384,2095,5289,0,13479,500,12979,0,6734,1000,5734,0,6801,500,6301
182,360000,288000,0,0,0,0,0,0,-1,6385,6401,-16,-1,991,997,-6,-1,4632,4641,-9,-1,2014,2014,0
183,260000,208000,0,0,0,0,0,0,1,-15910,0,-15910,-2,-15910,0,-15910,-2,24090,40000,-15910,-1,13977,507,13470
184,80000,64000,0,1,1,1,1,0,0,82265,3000,79265,0,81974,3500,78474,0,81253,3200,78053,0,78343,3800,74543
185,500000,400000,0,0,0,0,0,0,-1,1000,1005,-5,-1,16639,16639,0,-1,7081,142,6939,0,0,0,0
186,10000,8000,0,1,0,0,0,0,2,10047,1006,9041,0,8775,1390,7385,0,8984,1000,7984,0,7628,1000,6628
187,430000,344000,0,0,0,0,0,0,-2,2539,2539,0,-2,2250,2250,0,-2,0,0,0,-2,2580,2580,0
188,260000,208000,0,0,0,0,0,0,-1,577,577,0,-1,0,0,0,-1,200,200,0,-1,0,0,0
189,20000,16000,0,0,1,0,0,0,0,17264,2000,15264,0,18325,1500,16825,0,15680,500,15180,0,0,0,0
190,90000,72000,0,0,0,0,0,0,0,44881,2325,42556,0,43906,1510,42396,0,43767,1199,42568,0,43619,2380,41239
191,50000,40000,0,0,0,0,0,0,0,21682,21282,400,0,20833,694,20139,0,20289,1000,19289,0,19380,700,18680
192,30000,24000,0,1,1,1,1,1,0,30398,3564,26834,0,29305,0,29305,2,29408,1174,28234,0,28699,1207,27492
193,340000,272000,0,0,0,0,0,0,0,83636,3136,80500,0,85282,3014,82268,0,87070,3123,83947,0,88828,3168,85660
194,150000,120000,0,0,0,0,0,1,-2,3420,3420,0,-2,2527,2612,-85,-2,0,0,0,-2,0,0,0
195,150000,120000,0,0,0,0,0,0,3,112968,8000,104968,4,117613,8000,109613,4,122161,8000,114161,5,129616,10000,119616
196,10000,8000,0,0,0,1,0,1,0,6224,0,6224,2,6347,227,6120,0,12856,239,12617,0,8078,3412,4666
197,550000,440000,0,1,0,1,0,1,0,535509,22863,512646,0,548020,167622,380398,0,530672,14000,516672,0,155083,4300,150783
198,50000,40000,0,0,0,0,0,0,0,39851,2156,37695,0,27258,1200,26058,0,27679,1010,26669,0,28619,1400,27219
199,140000,112000,0,0,0,0,1,1,2,113177,10970,102207,2,113622,3805,109817,2,116396,4747,111649,2,115826,1932,113894
200,50000,40000,0,0,0,0,0,1,0,7692,3200,4492,0,12048,0,12048,2,3750,2000,1750,0,95,95,0
201,100000,80000,0,1,0,0,0,0,0,83616,3098,80518,0,67825,5010,62815,0,66756,3038,63718,0,57075,4031,53044
202,300000,240000,0,0,0,0,0,0,0,125120,10048,115072,0,133997,20172,113825,0,118000,11034,106966,0,131067,20109,110958
203,80000,64000,0,0,0,0,0,1,-1,1965,1800,165,0,390,0,390,0,985,985,0,-1,370,0,370
204,400000,320000,0,0,0,0,0,0,-1,9885,9939,-54,-1,65207,65243,-36,-1,59247,1239,58008,0,53752,5366,48386
205,70000,56000,0,1,1,0,0,0,0,61652,2312,59340,0,62788,2237,60551,0,57325,2038,55287,0,53415,2000,51415
206,320000,256000,0,0,0,0,0,0,0,13917,1700,12217,0,12125,243,11882,0,0,0,0,0,0,0,0
207,400000,320000,0,0,0,0,0,0,-1,98214,53704,44510,0,84142,4142,80000,0,70732,5010,65722,0,68674,66676,1998
208,340000,272000,1,1,1,1,0,1,4,572677,0,572677,4,384060,0,384060,3,304508,1000,303508,2,247178,4320,242858
209,100000,80000,0,0,0,0,0,1,2,57778,1400,56378,2,59227,3000,56227,2,58151,0,58151,2,61966,4800,57166
210,80000,64000,0,0,0,0,0,1,0,23661,1500,22161,0,24678,1412,23266,0,25766,1500,24266,0,26351,1000,25351
211,160000,128000,0,0,0,0,0,0,-2,0,0,0,-2,0,0,0,-2,0,0,0,-2,0,0,0
212,30000,24000,0,0,0,0,0,1,2,22875,0,22875,2,24155,2000,22155,0,23739,1500,22239,0,22124,900,21224
213,10000,8000,0,0,0,0,0,0,2,8019,2000,6019,2,5819,1000,4819,2,5626,0,5626,2,5621,2000,3621
214,20000,16000,0,0,1,1,1,0,0,18920,3500,15420,0,18180,0,18180,2,19000,2000,17000,0,20000,1000,19000
215,140000,112000,0,1,1,1,1,0,0,134552,7000,127552,0,135151,5000,130151,0,136327,5200,131127,0,136647,5100,131547
216,20000,16000,0,1,1,1,1,1,0,21579,1675,19904,0,22231,1327,20904,0,22301,800,21501,0,21687,783,20904
217,80000,64000,0,0,0,0,0,1,0,1473,1000,473,0,48029,48029,0,-1,47525,2000,45525,0,47181,2000,45181
218,140000,112000,0,1,0,0,0,0,2,117392,3500,113892,2,111478,3500,107978,2,109353,3600,105753,2,97612,0,97612
